Segment_ID,Entity_Type,Avg_Revenue,Optimization_Focus,Target_Saving_Pct,Estimated_Segment_Benefit,Arden_Shield_Eligibility
SEG-001,LLC,3877029.09,Section 41 (R&D Credits),0.0741,287169.78,High
SEG-002,C-Corp,2125980.97,Section 168(k) (Bonus Depreciation),0.0675,143525.63,High
SEG-003,S-Corp,1317503.77,Section 41 (R&D Credits),0.0436,57451.25,Medium
SEG-004,C-Corp,4984406.67,Section 41 (R&D Credits),0.0667,332293.79,High
SEG-004,C-Corp,4984406.67,Energy Efficient Commercial Bldgs (179D),0.0411,204958.21,Medium
SEG-005,LLC,1996817.28,Section 168(k) (Bonus Depreciation),0.033,65801.86,Medium
SEG-005,LLC,1996817.28,Section 199A (QBI),0.0679,135638.71,High
SEG-006,C-Corp,304676.11,Energy Efficient Commercial Bldgs (179D),0.0519,15799.54,High
SEG-006,C-Corp,304676.11,Work Opportunity Tax Credit,0.0577,17585.48,High
SEG-007,LLC,2075226.9,Energy Efficient Commercial Bldgs (179D),0.0595,123520.48,High
SEG-008,LLC,3482482.64,Work Opportunity Tax Credit,0.0734,255458.45,High
SEG-009,S-Corp,227433.76,Section 174 (Software Dev),0.0256,5828.64,Medium
SEG-009,S-Corp,227433.76,Section 199A (QBI),0.027,6142.43,Medium
SEG-010,Sole Proprietorship,1903326.73,Work Opportunity Tax Credit,0.0715,136180.45,High
SEG-010,Sole Proprietorship,1903326.73,Energy Efficient Commercial Bldgs (179D),0.04,76052.24,Medium
SEG-011,Sole Proprietorship,2133801.12,Section 174 (Software Dev),0.0775,165378.41,High
SEG-012,S-Corp,988846.92,Energy Efficient Commercial Bldgs (179D),0.0678,67057.12,High
SEG-012,S-Corp,988846.92,Section 199A (QBI),0.0619,61193.36,High
SEG-013,S-Corp,4908697.33,Section 174 (Software Dev),0.062,304398.42,High
SEG-013,S-Corp,4908697.33,Section 179 (Expensing),0.0667,327263.47,High
SEG-014,C-Corp,3126323.96,Section 168(k) (Bonus Depreciation),0.0492,153851.9,Medium
SEG-014,C-Corp,3126323.96,Work Opportunity Tax Credit,0.0662,206983.94,High
SEG-015,Sole Proprietorship,2804873.62,Work Opportunity Tax Credit,0.0212,59464.46,Medium
SEG-016,C-Corp,2673587.54,Section 168(k) (Bonus Depreciation),0.0611,163448.29,High
SEG-017,C-Corp,1365472.29,Section 179 (Expensing),0.0351,47917.66,Medium
SEG-018,LLC,2231387.03,Section 179 (Expensing),0.0459,102358.03,Medium
SEG-018,LLC,2231387.03,Energy Efficient Commercial Bldgs (179D),0.0777,173441.99,High
SEG-019,Sole Proprietorship,1337675.84,Section 168(k) (Bonus Depreciation),0.0408,54614.99,Medium
SEG-020,Sole Proprietorship,3446011.83,Section 199A (QBI),0.0485,167145.68,Medium
SEG-020,Sole Proprietorship,3446011.83,Work Opportunity Tax Credit,0.0316,108968.99,Medium
SEG-021,LLC,2270475.13,Section 168(k) (Bonus Depreciation),0.0679,154267.76,High
SEG-022,LLC,2418722.12,Section 41 (R&D Credits),0.0478,115526.61,Medium
SEG-022,LLC,2418722.12,Work Opportunity Tax Credit,0.0396,95746.01,Medium
SEG-023,LLC,1415444.2,Section 174 (Software Dev),0.0232,32773.42,Medium
SEG-023,LLC,1415444.2,Section 199A (QBI),0.0348,49197.02,Medium
